atc-code,drugbank-id
N03AG06,APRD00344
S02DA02,APRD00080
C01BA71,APRD00136
N03AX15,APRD00004
H05BX02,APRD01165
G01AF20,APRD01260
A10BX02,APRD00439
N01AH05,APRD00741
A10BD01,APRD00511
N04BB01,APRD00787
J01XD01,APRD00631
G02AD02,APRD00927
N02CC05,APRD00169
J01XX04,APRD01232
R06AX17,APRD01061
N07BC51,APRD00670
C01CX08,APRD01296
J01DC11,APRD00853
M03BX08,APRD00213
C04AX02,APRD00651
D05BB01,APRD00966
A02BA53,APRD00296
L01BC07,APRD00809
A02BB01,DB05379
C10AC04,APRD00883
J01AA05,APRD00137
J05AE09,APRD01306
N05AC03,APRD00610
N06AA21,APRD00747
S01GA04,APRD01158
N02BA12,DB01398
A08AA03,APRD00919
R03AC12,APRD00277
M02AA18,APRD01090
A03AB07,APRD00751
M03AC05,APRD01013
,APRD00731
J05AF03,APRD00562
S01EB04,APRD00905
C10BX01,EXPT00475
B01AA04,APRD00228
L02BA03,APRD00654
J01CA10,APRD01113
N03AX10,APRD00505
R06AX26,APRD00349
J04AC01,EXPT01940
N02CC02,APRD00220
N02CC04,APRD00008
J01FA13,APRD00931
J01GB07,APRD00232
R05DA03,DB09475
G03FA13,APRD00569
L01XA02,APRD00466
H02BX01,APRD00342
C07CA03,APRD00678
N01BB03,APRD01094
N05CF03,APRD00411
S01BC11,APRD00831
S01EA03,APRD00012
,APRD00960
C09CA07,APRD01247
R06AX27,APRD00324
,APRD01106
A03AE01,APRD00580
L01DA01,APRD00124
D01AE13,APRD01323
S01GX07,APRD00813
C10BA06,APRD00619
,APRD01327
B01AC07,APRD00360
J01FA15,APRD00483
G03AA06,APRD00691
S01AE04,APRD01076
S01FA04,APRD00893
N05CH02,APRD01213
V03AB19,APRD00406
D10BA01,APRD00140
R03AC13,APRD00641
,APRD00134
,APRD00924
A03AB02,DB06583
L01BC01,APRD00499
C01CA04,APRD00085
N06DA03,APRD00321
L02BG06,APRD00144
M01AE12,APRD00030
L01XD03,APRD01105
L04AX01,APRD00811
R02AB01,APRD00013
M01CB03,APRD00808
N03AX12,APRD00015
L01DB01,DB05847
N02CC07,APRD00270
G01AE10,APRD00092
J01CR50,APRD00892
R03AK04,APRD00553
N01BB10,APRD00110
A07EB01,APRD00336
J05AB06,EXPT01540
L01XX05,APRD00023
L02BG04,APRD01066
D01AC07,APRD01262
L01AB01,APRD00664
M01AE03,DB05335
,APRD00944
V04CD01,EXPT02271
H05BX01,APRD00872
,APRD00876
A07EC04,APRD00141
G01AE10,APRD00076
A10BB01,APRD00233
J01AA08,APRD00547
C02AC02,APRD00075
N07AB02,APRD00051
