drugbank-id,name
APRD00734,withdrawn
APRD01276,withdrawn
APRD00056,investigational
APRD01115,vet_approved
APRD00885,vet_approved
APRD00285,approved
DB07725,investigational
DB09440,approved
APRD00590,approved
APRD00044,investigational
APRD00805,approved
APRD00288,investigational
APRD00914,approved
APRD00460,approved
APRD00089,approved
APRD00771,approved
APRD00535,approved
APRD00267,investigational
APRD00799,approved
APRD00385,investigational
APRD00943,approved
DB06284,approved
APRD01212,investigational
APRD01197,investigational
APRD00188,approved
APRD00653,investigational
APRD01259,vet_approved
APRD00709,vet_approved
DB01334,approved
APRD00091,investigational
DB06085,investigational
APRD00620,approved
APRD00860,vet_approved
APRD00196,withdrawn
APRD01114,investigational
APRD00398,investigational
APRD00021,investigational
DB07948,investigational
APRD00704,approved
APRD00719,investigational
EXPT01068,vet_approved
APRD00972,approved
APRD00402,withdrawn
APRD00461,approved
DB07682,investigational
APRD00843,withdrawn
APRD00305,investigational
APRD00154,vet_approved
APRD00053,investigational
APRD00621,approved
APRD00268,investigational
APRD00830,approved
DB02330,vet_approved
APRD00926,vet_approved
APRD00404,approved
APRD00667,approved
APRD00789,withdrawn
APRD00840,approved
APRD00502,approved
APRD00155,investigational
APRD00040,investigational
APRD00695,investigational
APRD00171,investigational
APRD01007,approved
APRD00603,investigational
APRD00026,vet_approved
APRD00097,approved
APRD00184,investigational
APRD00683,investigational
APRD00061,approved
APRD00126,approved
APRD00865,withdrawn
DB08417,approved
APRD00112,approved
APRD00007,approved
APRD00261,approved
APRD00025,vet_approved
APRD00418,vet_approved
APRD00981,illicit
APRD00663,withdrawn
DB13498,approved
APRD00871,investigational
APRD00907,approved
APRD00566,vet_approved
APRD00648,withdrawn
APRD00158,vet_approved
APRD00772,investigational
APRD00475,approved
APRD00129,withdrawn
APRD00625,investigational
APRD00164,approved
APRD00356,approved
APRD00176,approved
APRD00622,investigational
APRD01217,investigational
APRD01068,investigational
APRD00301,approved
APRD00371,investigational
APRD00974,approved
APRD00292,investigational
APRD00271,approved
APRD01231,investigational
APRD00912,investigational
APRD00165,approved
APRD00181,approved
APRD00395,approved
APRD00985,vet_approved
APRD00668,approved
APRD00955,illicit
DB07774,approved
APRD00016,investigational
APRD00419,approved
APRD00901,investigational
APRD01218,investigational
APRD00493,vet_approved
APRD00442,approved
APRD00329,approved
APRD00675,approved
APRD00068,approved
APRD01119,approved
APRD00745,investigational
APRD00613,withdrawn
DB05526,vet_approved
APRD01169,withdrawn
APRD00929,withdrawn
APRD00623,investigational
APRD00665,investigational
APRD00674,vet_approved
EXPT01107,approved
APRD00219,vet_approved
APRD00710,approved
APRD00638,investigational
APRD00718,withdrawn
APRD00949,approved
APRD00293,approved
DB07600,vet_approved
APRD00866,approved
APRD00727,withdrawn
APRD00696,approved
APRD00258,vet_approved
APRD00701,approved
APRD00932,investigational
DB01249,approved
DB01250,approved
DB01251,investigational
DB01252,investigational
DB01253,approved
DB01254,investigational
DB01255,investigational
DB01256,approved
DB01257,investigational
DB02584,investigational
DB01260,investigational
DB07214,investigational
DB01262,investigational
DB01263,vet_approved
EXPT00002,approved
DB01265,investigational
DB01266,nutraceutical
DB01267,approved
DB07417,investigational
DB01269,investigational
DB01270,approved
DB01271,approved
DB01272,approved
DB01273,investigational
DB01274,investigational
DB01275,approved
